state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,0,1,15
15,1,1,0,7
7,0,1,3,15
15,3,0,3,15
15,3,8,2,14
14,2,9,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,3,15
15,3,0,1,15
15,1,5,1,7
7,1,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,18,1,14
14,1,23,3,14
14,3,2,3,14
14,3,28,3,14
14,3,33,1,14
14,1,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,8,1,63
63,1,48,1,63
63,1,56,2,31
31,2,32,2,15
15,2,0,0,15
15,0,0,1,15
15,1,40,2,63
63,2,48,1,31
31,1,16,2,15
15,2,0,1,15
15,1,0,2,15
15,2,0,3,15
15,3,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,3,2,7
7,2,24,2,7
7,2,2,3,7
7,3,6,3,7
7,3,27,3,7
7,3,60,3,6
6,3,52,3,6
6,3,64,1,6
6,1,56,2,6
6,2,4,0,6
6,0,3,3,14
14,3,14,2,15
15,2,6,1,7
7,1,2,1,14
14,1,1,1,7
7,1,3,1,7
7,1,2,0,7
7,0,3,1,7
7,1,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,24,0,47
47,0,0,2,15
15,2,32,1,63
63,1,56,2,47
47,2,40,0,15
15,0,0,3,15
15,3,32,3,63
63,3,16,0,15
15,0,0,0,15
15,0,0,0,15
15,0,8,3,47
47,3,56,0,63
63,0,16,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,1,15
15,1,40,0,63
63,0,48,0,31
31,0,56,0,31
31,0,56,3,31
31,3,48,3,31
