state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,0,1,15
15,1,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,10,2,14
14,2,27,2,14
14,2,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,32,1,31
31,1,56,1,31
31,1,48,0,31
31,0,40,2,15
15,2,48,2,31
31,2,48,2,31
31,2,56,3,31
31,3,56,0,31
31,0,8,1,15
15,1,0,1,15
15,1,48,1,31
31,1,0,3,15
15,3,0,1,15
15,1,0,2,15
15,2,0,3,15
15,3,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,14,1,14
14,1,22,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,52,3,6
6,3,7,0,14
14,0,14,3,14
14,3,10,3,15
15,3,4,3,14
14,3,32,1,6
6,1,52,1,6
6,1,2,2,7
7,2,5,2,7
7,2,0,3,14
14,3,5,0,14
14,0,12,2,14
14,2,8,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,7
7,1,5,1,7
7,1,1,1,7
7,1,1,1,7
7,1,2,0,7
7,0,4,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,1,15
15,1,48,0,47
47,0,56,3,47
47,3,56,2,47
47,2,48,2,47
47,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,31,2,11
11,2,36,3,9
9,3,12,3,9
9,3,68,3,11
11,3,14,0,15
15,0,0,0,15
15,0,0,0,15
15,0,18,0,11
11,0,40,0,11
11,0,82,0,1
1,0,54,1,9
9,1,60,0,1
1,0,33,0,8
8,0,75,1,8
8,1,66,1,8
8,1,3,2,8
8,2,3,0,8
8,0,24,3,8
8,3,45,0,8
8,0,27,0,8
8,0,78,0,8
8,0,81,0,8
8,0,90,0,8
8,0,90,0,8
8,0,78,0,8
8,0,90,0,8
8,0,93,0,8
8,0,56,0,14
14,0,31,2,14
14,2,23,0,14
14,0,8,0,14
14,0,28,0,14
14,0,32,1,62
62,1,26,2,62
62,2,51,2,62
62,2,57,1,46
46,1,47,1,46
46,1,9,2,14
