state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime
15,0,0,2,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,2,15,15,0,0,0,15,15,0,0,2,15,15,0,0,2,15
15,2,0,2,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,2,0,2,15,15,0,0,0,15,15,2,0,2,15,15,2,0,2,15
15,2,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,17,0,14,15,2,0,0,15,15,0,0,0,15,15,2,0,0,15,15,2,0,0,15
15,0,0,2,15,15,0,0,0,15,15,0,0,0,15,14,0,30,1,14,15,0,0,2,15,15,0,0,0,15,15,0,0,3,15,15,0,0,0,15
15,2,0,2,15,15,0,32,1,31,15,0,8,1,31,14,1,23,0,14,15,2,0,2,15,15,0,0,0,15,15,3,0,3,15,15,0,0,2,15
15,2,0,2,15,31,1,56,1,31,31,1,56,1,31,14,0,8,1,14,15,2,0,2,15,15,0,0,0,15,15,3,0,3,15,15,2,0,2,15
15,2,0,2,15,31,1,48,0,31,31,1,56,0,31,14,1,19,1,14,15,2,0,2,15,15,0,48,0,47,15,3,0,3,15,15,2,0,2,15
15,2,0,2,15,31,0,40,2,15,31,0,48,0,31,14,1,2,0,15,15,2,0,2,15,47,0,56,0,47,15,3,0,3,15,15,2,0,0,15
15,2,0,2,15,15,2,48,2,31,31,0,8,2,31,15,0,0,0,15,15,2,0,2,15,47,0,48,2,47,15,3,0,3,15,15,0,0,0,15
15,2,0,2,15,31,2,48,2,31,31,2,56,2,31,15,0,0,2,15,15,2,0,2,15,47,2,56,2,63,15,3,0,2,15,15,0,0,2,15
15,2,0,2,15,31,2,56,3,31,31,2,48,3,31,15,2,0,0,15,15,2,0,2,15,63,2,56,3,47,15,2,0,3,15,15,2,32,1,63
15,2,0,0,15,31,3,56,0,31,31,3,56,0,31,15,0,40,0,31,15,2,0,0,15,47,3,48,0,47,15,3,0,0,15,63,1,56,0,63
15,0,0,3,15,31,0,8,1,15,31,0,8,2,15,31,0,56,1,63,15,0,0,2,15,47,0,8,2,15,15,0,0,2,15,63,0,24,0,15
15,3,8,0,47,15,1,0,1,15,15,2,0,2,15,63,1,56,1,63,15,2,0,2,15,15,2,0,2,15,15,2,2,2,15,15,0,48,2,63
47,0,32,1,15,15,1,48,1,31,15,2,0,1,15,63,1,48,1,31,15,2,0,1,15,15,2,0,1,15,15,2,0,1,15,63,2,56,1,63
15,1,16,2,47,31,1,0,3,15,15,1,8,0,31,31,1,16,2,15,15,1,0,2,15,15,1,0,2,15,15,1,0,2,15,63,1,56,3,63
47,2,56,1,47,15,3,0,1,15,31,0,40,1,15,15,2,0,1,15,15,2,0,1,15,15,2,0,1,15,15,2,0,1,15,63,3,32,1,15
47,1,48,2,47,15,1,0,2,15,15,1,32,2,31,15,1,0,2,15,15,1,0,2,15,15,1,0,2,15,15,1,0,2,15,15,1,0,2,15
47,2,8,2,15,15,2,0,3,15,31,2,48,3,31,15,2,0,2,15,15,2,0,3,15,15,2,0,2,15,15,2,0,2,15,15,2,0,1,15
15,2,0,1,15,15,3,0,1,15,31,3,16,1,15,15,2,0,1,15,15,3,0,1,15,15,2,0,1,15,15,2,0,1,15,15,1,0,1,15
15,1,0,0,15,15,1,0,0,15,15,1,0,0,15,15,1,0,0,15,15,1,0,0,15,15,1,0,0,15,15,1,0,0,15,15,1,0,0,15
15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15
15,0,32,3,47,15,0,0,3,15,15,0,0,2,15,15,0,40,2,31,15,0,0,2,15,15,0,0,2,15,15,0,0,2,15,15,0,0,3,15
47,3,48,3,47,15,3,0,3,15,15,2,24,3,31,31,2,48,2,31,15,2,0,2,15,15,2,0,2,15,15,2,0,2,15,15,3,56,3,63
47,3,40,2,15,15,3,14,1,14,31,3,48,3,31,31,2,56,3,31,15,2,0,2,15,15,2,48,1,47,15,2,0,1,14,63,3,16,1,15
15,2,0,2,15,14,1,22,3,15,31,3,16,3,15,31,3,16,2,15,15,2,0,2,15,47,1,8,3,15,14,1,0,2,15,15,1,0,1,15
15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,15,2,0,2,15,15,1,0,1,15
15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,15,2,0,2,15,15,1,0,1,15
15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,15,2,0,2,15,15,1,0,1,15
15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,15,2,0,2,15,15,1,0,1,15
15,2,0,2,15,15,3,0,2,15,15,3,0,2,15,15,2,0,2,15,15,2,0,2,15,15,3,0,2,15,15,2,0,2,15,15,1,0,2,15
15,2,0,2,15,15,2,52,3,6,15,2,0,3,15,15,2,0,2,15,15,2,0,2,15,15,2,0,3,15,15,2,1,0,14,15,2,0,1,15
15,2,0,2,15,6,3,7,0,14,15,3,0,3,15,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,14,0,6,0,14,15,1,0,1,15
15,2,0,3,15,14,0,14,3,14,15,3,0,3,15,15,2,0,3,15,15,2,0,3,15,15,3,0,3,15,14,0,3,3,62,15,1,0,3,15
15,3,0,2,15,14,3,10,3,15,15,3,0,3,15,15,3,0,2,15,15,3,0,2,15,15,3,0,3,15,62,3,36,2,62,15,3,0,1,15
15,2,0,2,15,15,3,4,3,14,15,3,0,3,15,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,62,2,30,2,14,15,1,0,1,15
15,2,0,2,15,14,3,32,1,6,15,3,0,3,15,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,14,2,4,2,14,15,1,0,1,15
15,2,0,2,15,6,1,52,1,6,15,3,4,2,7,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,14,2,2,3,14,15,1,0,1,15
15,2,0,2,15,6,1,2,2,7,7,2,17,2,7,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,14,3,12,0,12,15,1,0,1,15
15,2,0,2,15,7,2,5,2,7,7,2,3,3,15,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,12,0,34,0,12,15,1,0,1,15
15,2,0,3,15,7,2,0,3,14,15,3,0,3,15,15,2,0,3,15,15,2,0,3,15,15,3,0,3,15,12,0,34,3,12,15,1,0,3,15
15,3,0,2,15,14,3,5,0,14,15,3,0,3,15,15,3,0,2,15,15,3,0,2,15,15,3,0,3,15,12,3,40,0,12,15,3,0,1,15
15,2,0,2,15,14,0,12,2,14,15,3,5,2,7,15,2,0,2,15,15,2,0,2,15,15,3,0,2,15,12,0,0,2,12,15,1,0,2,15
15,2,0,2,15,14,2,8,1,15,7,2,25,1,7,15,2,0,2,15,15,2,0,2,15,15,2,0,3,15,12,2,38,3,12,15,2,0,1,15
15,2,0,3,15,15,1,0,3,15,7,1,5,3,7,15,2,0,3,15,15,2,0,3,15,15,3,0,3,15,12,3,6,3,12,15,1,0,3,15
15,3,0,2,15,15,3,0,1,15,7,3,6,3,7,15,3,0,2,15,15,3,0,2,15,15,3,0,3,15,12,3,72,1,8,15,3,0,1,15
15,2,0,2,15,15,1,0,1,7,7,3,27,0,7,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,8,1,78,1,8,15,1,0,1,15
