state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,0,1,15
15,1,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,13,2,14
14,2,8,2,15
15,2,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,48,0,47
47,0,56,0,47
47,0,48,2,47
47,2,56,2,63
63,2,56,3,47
47,3,48,0,47
47,0,8,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,48,1,47
47,1,8,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,12,0,14
14,0,15,1,14
14,1,9,1,15
15,1,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,1,2,7
7,2,2,1,15
15,1,3,1,14
14,1,1,0,7
7,0,1,1,15
15,1,0,3,15
15,3,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,0,15
15,0,0,2,15
15,2,32,1,47
47,1,32,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,1,15
15,1,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,13,1,7
