state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,0,1,15
15,1,0,0,15
15,0,1,3,15
15,3,0,3,15
15,3,9,2,14
14,2,21,2,15
15,2,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,8,1,31
31,1,56,1,31
31,1,56,0,31
31,0,48,0,31
31,0,8,2,31
31,2,56,2,31
31,2,48,3,31
31,3,56,0,31
31,0,8,2,15
15,2,0,2,15
15,2,0,1,15
15,1,8,0,31
31,0,40,1,15
15,1,32,2,31
31,2,48,3,31
31,3,16,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,24,3,31
31,3,48,3,31
31,3,16,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,4,2,7
7,2,17,2,7
7,2,3,3,15
15,3,0,3,15
15,3,0,3,15
15,3,5,2,7
7,2,25,1,7
7,1,5,3,7
7,3,6,3,7
7,3,27,0,7
7,0,20,0,7
7,0,23,1,7
7,1,25,1,7
7,1,4,0,7
7,0,4,1,7
7,1,17,1,7
7,1,2,1,7
7,1,0,0,3
3,0,12,2,3
3,2,42,0,3
3,0,10,3,3
3,3,26,1,7
7,1,18,2,3
3,2,8,2,3
3,2,2,1,7
7,1,0,1,7
7,1,1,1,7
7,1,0,2,3
3,2,2,3,3
3,3,22,2,3
3,2,44,3,3
3,3,16,0,3
3,0,32,0,3
3,0,62,1,3
3,1,31,1,7
7,1,7,0,3
3,0,8,0,3
3,0,42,0,3
3,0,60,0,3
3,0,60,0,3
3,0,54,0,3
3,0,60,1,3
3,1,48,2,3
3,2,6,1,1
1,1,6,3,3
3,3,24,1,1
1,1,57,0,1
1,0,6,3,1
1,3,36,0,1
1,0,45,3,1
1,3,21,3,1
1,3,81,3,1
1,3,81,2,1
1,2,72,2,1
1,2,12,0,3
3,0,10,2,3
3,2,34,0,3
3,0,11,1,7
7,1,21,0,7
7,0,13,1,7
7,1,28,0,3
3,0,16,0,3
3,0,52,0,3
3,0,52,0,3
3,0,35,1,7
