state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,0,1,15
15,1,7,0,7
7,0,2,3,15
15,3,0,3,15
15,3,17,2,14
14,2,4,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,3,15
15,3,0,1,15
15,1,6,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,31,1,14
14,1,23,2,14
14,2,5,3,14
14,3,7,3,14
14,3,26,3,14
14,3,15,0,15
15,0,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,17,0,14
14,0,30,1,14
14,1,23,0,14
14,0,8,1,14
14,1,19,1,14
14,1,2,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,0,15
15,0,40,0,31
31,0,56,1,63
63,1,56,1,63
63,1,48,1,31
31,1,16,2,15
15,2,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,40,2,31
31,2,48,2,31
31,2,56,3,31
31,3,16,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,13,3,7
7,3,9,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,8,0,14
14,0,14,0,14
14,0,18,0,14
14,0,23,2,62
62,2,31,2,62
62,2,55,0,62
62,0,54,1,62
62,1,37,1,62
62,1,33,0,14
14,0,1,3,62
62,3,33,1,62
62,1,39,2,14
14,2,2,2,15
15,2,0,3,15
15,3,7,2,14
14,2,25,0,14
14,0,0,3,14
14,3,8,3,14
14,3,42,2,7
7,2,18,2,14
14,2,6,2,14
14,2,1,2,14
14,2,1,0,12
12,0,0,1,15
15,1,16,2,12
12,2,10,0,12
12,0,21,1,8
8,1,60,0,8
8,0,18,1,8
8,1,57,1,8
8,1,4,0,12
12,0,4,2,14
14,2,27,0,12
12,0,20,0,12
