state,action,reward,sprime,aprime
56,8,0.000000,0,120
120,0,0.000000,3,112
112,3,0.000000,3,112
112,3,0.000000,6,0
0,6,0.000000,2,48
48,2,0.000000,2,48
48,2,0.000000,8,80
80,8,0.000000,7,16
16,7,0.000000,7,16
16,7,0.000000,6,120
120,6,0.000000,0,136
136,0,0.000000,6,128
128,6,0.000000,9,80
80,9,0.000000,7,9
9,7,0.000000,1,89
89,1,0.000000,1,89
89,1,0.000000,1,137
137,1,0.000000,6,33
33,6,0.000000,6,33
33,6,0.000000,5,33
33,5,0.000000,8,81
81,8,0.000000,4,89
97,4,0.000000,3,113
113,3,0.000000,1,65
65,1,0.000000,1,65
65,1,0.000000,1,49
49,1,0.000000,9,33
72,9,0.000000,5,65
65,5,0.000000,3,129
129,3,0.000000,3,129
97,1,0.000000,5,49
49,5,0.000000,5,49
49,5,0.000000,1,41
41,1,0.000000,8,97
97,8,0.000000,8,97
97,8,0.000000,7,33
33,7,0.000000,0,113
113,0,0.000000,0,113
113,0,0.000000,6,129
129,6,0.000000,3,1
1,3,0.000000,3,1
1,3,0.000000,9,81
81,9,0.000000,8,48
48,8,0.000000,8,48
48,8,0.000000,7,56
56,7,0.000000,7,112
112,7,0.000000,7,112
128,3,0.000000,9,136
136,9,0.000000,5,129
49,7,0.000000,7,49
97,9,0.000000,5,128
128,5,0.000000,5,128
128,5,0.000000,1,128
96,4,0.000000,4,96
32,8,0.000000,1,72
72,1,0.000000,3,64
64,3,0.000000,3,120
120,3,0.000000,3,32
32,3,0.000000,1,48
48,1,0.000000,1,56
56,1,0.000000,3,48
48,3,0.000000,2,32
32,2,0.000000,2,32
32,2,0.000000,0,56
16,9,0.000000,5,17
17,5,0.000000,0,1
1,0,0.000000,0,1
1,0,0.000000,2,97
97,2,0.000000,2,1
1,2,0.000000,2,1
1,2,0.000000,6,17
17,6,0.000000,6,17
17,6,1.000000,1,17
17,1,0.000000,8,89
89,8,0.000000,6,81
81,6,1.000000,4,41
41,4,0.000000,6,113
113,6,0.000000,0,81
81,0,0.000000,7,73
73,7,0.000000,3,81
81,3,0.000000,8,1
1,8,0.000000,1,129
129,1,0.000000,8,49
49,8,0.000000,9,113
113,9,0.000000,6,32
32,6,0.000000,2,112
112,2,0.000000,2,112
112,2,0.000000,4,80
80,4,0.000000,2,16
16,2,0.000000,2,16
16,2,0.000000,1,64
64,1,0.000000,0,16
16,0,0.000000,0,16
16,0,0.000000,5,32
32,5,0.000000,8,0
0,8,0.000000,8,8
8,8,0.000000,1,96
96,1,0.000000,5,112
112,5,0.000000,5,112
112,5,0.000000,8,40
40,8,0.000000,6,96
96,6,0.000000,6,96
96,6,0.000000,4,112
112,4,0.000000,5,80
80,5,0.000000,5,80
80,5,0.000000,0,72
72,0,0.000000,5,96
96,5,1.000000,2,104
104,2,0.000000,5,0
0,5,1.000000,2,96
96,2,0.000000,2,16
16,2,0.000000,0,96
96,0,1.000000,2,16
16,2,1.000000,1,24
24,1,1.000000,5,0
0,5,1.000000,2,16
16,2,2.000000,0,32
32,0,0.000000,0,96
96,0,0.000000,2,16
16,2,0.000000,4,0
0,4,1.000000,4,0
0,4,1.000000,8,16
16,8,2.000000,7,64
64,7,0.000000,7,64
64,7,0.000000,8,112
112,8,0.000000,8,128
128,8,0.000000,8,128
128,8,0.000000,4,120
120,4,0.000000,6,112
112,6,0.000000,6,112
112,6,0.000000,0,64
64,0,0.000000,3,80
80,3,0.000000,3,80
80,3,0.000000,2,0
0,2,0.000000,6,48
48,6,0.000000,6,48
48,6,0.000000,4,16
16,4,0.000000,0,80
80,0,0.000000,0,80
80,0,0.000000,9,64
64,9,0.000000,7,1
1,7,0.000000,7,1
1,7,0.000000,1,1
1,1,0.000000,7,129
129,7,0.000000,7,129
