state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,0,1,15
15,1,7,0,7
7,0,2,3,15
15,3,0,3,15
15,3,13,2,14
14,2,22,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,3,15
15,3,0,1,15
15,1,6,1,7
7,1,2,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,40,1,31
31,1,56,3,31
31,3,56,3,31
31,3,8,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,3,15
15,3,8,0,47
47,0,32,1,15
15,1,16,2,47
47,2,56,1,47
47,1,48,2,47
47,2,8,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,32,3,47
47,3,48,3,47
47,3,40,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,32,0,15
15,0,0,2,15
15,2,0,2,15
15,2,56,0,31
31,0,56,0,31
31,0,48,2,31
31,2,56,1,63
63,1,56,3,31
31,3,48,1,31
31,1,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,7,3,7
7,3,27,2,7
7,2,25,2,7
7,2,2,1,14
14,1,4,1,14
14,1,0,3,15
15,3,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,21,0,14
14,0,7,1,15
15,1,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,20,3,7
7,3,20,3,7
7,3,22,0,7
7,0,22,0,7
7,0,13,1,15
15,1,0,1,15
15,1,0,2,15
15,2,2,2,7
7,2,2,0,15
15,0,0,0,15
15,0,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,0,15
