state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,32,1,31
31,1,24,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,1,15
15,1,48,0,31
31,0,48,3,31
31,3,56,1,31
31,1,48,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,32,2,31
31,2,56,2,31
31,2,48,3,31
31,3,56,3,31
31,3,8,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,2,15
15,2,0,3,15
15,3,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,23,2,7
7,2,23,3,7
7,3,19,1,7
7,1,50,3,1
1,3,48,3,0
0,3,108,3,0
0,3,116,0,0
0,0,68,0,0
0,0,68,1,0
0,1,108,0,0
0,0,36,1,0
0,1,84,1,0
0,1,12,0,0
0,0,16,1,0
0,1,68,1,0
0,1,8,2,0
0,2,0,1,0
0,1,8,3,0
0,3,20,1,0
0,1,80,0,0
0,0,16,1,0
0,1,76,1,0
0,1,7,1,0
0,1,4,1,0
0,1,4,1,0
0,1,4,1,0
0,1,0,1,0
0,1,4,1,0
0,1,4,2,0
0,2,0,1,0
0,1,4,1,0
0,1,0,0,0
0,0,24,1,0
0,1,72,1,0
0,1,16,1,0
0,1,4,1,0
0,1,0,1,0
0,1,4,1,0
