state,action,reward,sprime,aprime
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,3,15
15,3,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,3,15
15,3,0,0,15
15,0,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,1,15
15,1,32,2,63
63,2,48,2,63
63,2,56,2,47
47,2,56,0,47
47,0,48,0,47
47,0,56,3,63
63,3,56,3,63
63,3,16,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,24,0,14
14,0,18,0,14
14,0,6,2,15
15,2,0,2,15
15,2,0,2,15
15,2,2,0,14
14,0,4,0,14
14,0,23,3,14
14,3,18,0,14
14,0,12,0,14
14,0,22,3,14
14,3,17,0,14
14,0,11,0,14
14,0,21,1,14
14,1,23,0,14
14,0,8,0,14
14,0,26,0,14
14,0,29,0,14
14,0,25,0,14
14,0,29,0,14
14,0,36,2,62
62,2,39,2,62
62,2,53,0,46
46,0,46,2,62
62,2,31,0,62
62,0,46,0,62
62,0,37,3,62
62,3,34,3,62
62,3,43,2,14
14,2,40,1,12
12,1,7,3,14
14,3,16,0,12
12,0,16,3,14
14,3,8,3,14
14,3,20,2,14
14,2,21,1,14
14,1,5,1,14
14,1,2,1,14
14,1,1,1,14
14,1,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,14
14,1,1,1,14
14,1,0,1,14
14,1,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,14
14,1,1,1,14
14,1,0,1,14
14,1,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,14
14,1,0,1,14
14,1,1,1,14
14,1,1,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,14
14,1,0,2,15
15,2,1,1,14
14,1,0,2,15
15,2,3,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,7
7,1,1,2,15
15,2,0,2,15
15,2,2,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
