state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,0,1,15
15,1,0,0,15
15,0,5,3,15
15,3,0,3,15
15,3,13,2,14
14,2,19,2,15
15,2,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,32,1,63
63,1,56,0,63
63,0,24,0,15
15,0,48,2,63
63,2,56,1,63
63,1,56,3,63
63,3,32,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,56,3,63
63,3,16,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,1,15
15,1,56,2,63
63,2,48,3,47
47,3,56,0,47
47,0,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,7,2,7
7,2,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,15,1,7
7,1,23,1,7
7,1,2,3,7
7,3,6,3,7
7,3,20,0,7
7,0,38,3,6
6,3,28,2,7
7,2,16,1,14
14,1,8,1,14
14,1,3,0,7
7,0,2,1,7
7,1,13,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
